question_id,question_text,difficulty,correct_answer,category,option_1,option_2,option_3,option_4
142,How to make a rice?,BEGINNER,1,Cooking,cook,eat,clean,all the above
57,Who discovered gravity?,BEGINNER,1,Science,Newton,Einstein,Galileo,Curie
58,What is the capital of Russia?,INTERMEDIATE,2,Geography,Moscow,St. Petersburg,Kiev,Odessa
59,In which year was the first iPhone released?,ADVANCED,3,History,2007,2010,2005,2012
54,In which year was the Declaration of Independence signed?,ADVANCED,3,History,1776,1789,1812,1804
53,What is the speed of sound?,ADVANCED,3,Science,343 m/s,300 m/s,400 m/s,500 m/s
52,Which is the smallest planet in our solar system?,INTERMEDIATE,2,Science,Mercury,Venus,Earth,Mars
51,Who invented the airplane?,BEGINNER,1,History,Wright Brothers,Da Vinci,Curie,Einstein
50,What is the boiling point of water in Fahrenheit?,BEGINNER,1,Science,212,180,230,250
49,What is the largest continent?,BEGINNER,1,Geography,Asia,Europe,America,Africa
114,Which of the following C++ features supports polymorphism?,INTERMEDIATE,2,Programming,Inheritance,Encapsulation,Abstraction,Friend Functions
126,What is the use of the `friend` keyword in C++?,INTERMEDIATE,2,Programming,It allows a function to access private and protected members of a class, It defines a relationship between two classes, It makes a function global, It defines a class template
125,Which of the following types is used to represent a character in C++?,BEGINNER,1,Programming,char,string,int,float
124,What is the output of this code snippet: `cout << (5 + 3 * 2);`?,BEGINNER,1,Programming,11,16,15,10
113,What is the difference between `malloc` and `new` in C++?,ADVANCED,3,Programming,`malloc` allocates memory but does not call constructors, `new` allocates memory and calls constructors, Both are identical, None of the above
15,What is the longest river in the world?,BEGINNER,1,Geography,Nile,Amazons,Mississippi,Ganges
112,Which of the following containers in C++ is implemented as a dynamic array?,INTERMEDIATE,2,Programming,vector,list,map,set
42,Which country was the first to land a man on the moon?,INTERMEDIATE,2,History,USA,China,USSR,India
139,Which of the following is a valid C++ operator for logical AND?,BEGINNER,1,Programming,&&, &, |, !
13,What is the chemical formula for methane?,BEGINNER,1,Science,CH4,C2H6,CO2,N2
110,What is the function of the `delete` keyword in C++?,INTERMEDIATE,2,Programming,Deallocates memory,Allocates memory,Deletes a file,Removes a class member
41,What is the square of 12?,BEGINNER,1,Math,144,100,121,144
138,What is the purpose of the `#include` directive in C++?,BEGINNER,1,Programming,To include standard and user-defined libraries, To declare variables, To define functions, To initialize a class
12,Who discovered penicillin?,INTERMEDIATE,2,Science,Fleming,Einstein,Curie,Nightingale
109,Which C++ feature allows you to provide different functions with the same name but different parameters?,INTERMEDIATE,2,Programming,Function Overloading,Function Overriding,Templates,Inheritance
11,What is the largest ocean on Earth?,BEGINNER,1,Geography,Atlantic,Pacific,Indian,Arctic
108,What is the default access modifier for members of a class in C++?,INTERMEDIATE,2,Programming,Private,Public,Protected,Internal
10,In which year did World War II end?,ADVANCED,2,History,1945,1939,1941,1950
107,Which of the following is the correct way to declare a constant in C++?,BEGINNER,1,Programming,const int x = 10; constant int x = 10; int const x = 10; All of the above
48,Who was the first female Prime Minister of the United Kingdom?,INTERMEDIATE,2,History,Thatcher,May,Queen Elizabeth,Stewart
47,What is the currency used in Japan?,BEGINNER,1,Geography,Yuan,Won,Yen,Won
8,What is the chemical symbol for water?,BEGINNER,1,Science,H2O,O2,CO2,He
105,Which of the following is the correct syntax for a C++ class?,BEGINNER,1,Programming,class ClassName { public: }; class ClassName { private: }; class ClassName: public base {}; struct ClassName {};
46,What is the capital of Germany?,BEGINNER,1,Geography,Berlin,Paris,Rome,London
